Game Name,Intro,Expect,Video,Caption
E's Laf++,"With the original E's Laf coming out in 2007, this sequel to the seasoned doujin fighter has taken up the task in significantly updating it's previous work. New 3D models for characters, simplified input commands, dash macro, and a more lenient buffer all serve to establish E's Laf++ as a sequel with its own identity. This airdasher takes heavy inspiration from Guilty Gear, specifically Xrd, while adding some fun wrinkles of its own flavor to the mix.","E's Laf++ has its own form of Negative Penalty to punish players who are overly defensive. The Risk Bar works as a standard guard bar, but is also segmented into four parts that are resources for backdashing on either the ground or air. In fact, if you have less than one bar of Risk you actually will not be able to do any form of backdashing. Keeping in line with Xrd, you can spend 25% of your total meter for a Fatal Shift, basically a YRC. Fatal Shift gives some additional benefits, such as forcing Counter Hit on an opponent when hit in neutral or removing a bar of Risk Bar from the opponent on hit or block.",N1_qlMPJW-s,"I wasn't kidding when I said it's influenced by Xrd, YouTube keeps thinking E's Laf++ is Xrd footage. This game is still in development so this CMV might be outdated by now, but it's still a rippin' piece of work. I hope the art of CMVs never goes away."
Eternal Fighter Zero,"If the artstyle didn't clue you in, this game comes from a different era. Originally released in 2001, EFZ is a doujin game based on the then-current popularity of visual novels by Tactics (Moon and One ~To The Radiant Season~) and the company that spawned afterwards, Key (Kanon and Air). If the chibi character style looks familiar, the developers, Twilight Frontier, went on to make the Touhou fighting games (one of which we will see later!)","Hot off the heels of Guilty Gear X, EFZ is also an airdasher with its own form of Roman Canceling called Instant Charge. While able to cancel out of a move on hit or block, like Roman Cancels, if you IC while your meter is light blue, you get a Blue Instant Charge that adds more juggle potential, allowing for extended combos. EFZ also has Flicker Instant Charge, an IC for certain whiffing or projectile attacks, just like False Roman Cancels.",yp99e1NoKw4,"The Eternal Fighter Zero YouTube page is a well-kept collection of tournaments, casuals, combo videos and other goodies for the game, including this old Japanese system tutorial which has been subtitled for English fans to use. "
Fight of Animals: The Legend of the Strongest Creature,"Don't let your memes be dreams. Fight of Animals is an indie fighting game where all the characters are based on humorously misconstrued pictures of anime, such as the absolutely yoked beluga whale or that weird egg dog I keep seeing in uncanny 3D animations. But let not its simplicity or comedic premise convince you it is just a game made on a lark, Fight of Animals is quite the real deal and with online lobbies and rollback netcode it was made to be played competitively.","Fight Of Animals does away with one of the most hardwired tenets of fighting games; throws. You cannot throw your opponent in this game, so Strike/Throw mixups are off the table (which is only fair, Egg Dog doesn't have arms to throw with anyways). Instead you must utilize left/right and high/low mixups to crack your opponents' defense. To help facilitate this, overheads are a universal attack and the startup for them is standardized across the cast, so no one character has a better standing overhead than the rest. ",zIeIe_ugikQ,"Vortex Gallery and SuperCombo cornerstone Shiburizu rocks the mic for this grand finals showdown at AnimEvo 2020. Hopefully homeboy won't be too busy during Vortex Gallery and can work his way into that grand finals spot as a player. I believe in you, chief. "
Guilty Gear Xrd REV 2,"The return of the king. For those who do not remember, the latter years of the 2000s were wracked with fear that we might not get another Guilty Gear. Due to the Sammy/SEGA merger, the IP rights to Guilty Gear had been lost in the process and BlazBlue stepped in to act as a bit of a Guilty Gear replacement. After a handful of years ArcSys was able to get the rights back, and Guilty Gear fans were treated to a new watermark for how beautiful fighting games could be with the release of Guilty Gear Xrd -SIGN-. Xrd REV 2 is the final revision of the series, giving us years of amazing tournaments, hype sets, and Johnny being Top 1.","Xrd focuses heavily on the new Yellow Roman Cancel. Whereas a normal (Red) Roman Cancel can cancel an attack on hit or block for 50% meter, a Yellow Roman Cancel can cancel the startup of an attack for 25%. This becomes a cornerstone for characters' moves as it replaces many False Roman Cancels from +R and operates the same way for canceling the rest of a projectile animation but allowing the projectile to exist. Less applicable, more of a band-aid for when you make a boo-boo really, is the Purple Roman Cancel, which allows you to cancel the whiff of an attack for 50% meter.

There is a small, but not impossible, chance you see two attacks clash and the entire game freeze for something called Danger Time. This mechanical evolution of Chance Time from Mario Party can upend an entire round, as when it happens both players receive some free meter, deal 20% more damage, and any strike will cause an adrenaline-jacked version of a counter hit called Mortal Counter. These instances are rare, but when they happen the possibility of characters being exploded with even the slightest touch becomes real.",NKGPhKu3jNg,"I can't overstate how groundbreaking this trailer was. After years of wondering if we would even get another mainline Guilty Gear just seeing confirmation that it was real was mind-blowing, but when the first clash happens and the camera pans around to show that these aren't sprites, they are 3D models that perfectly look like the old sprite work, jaws had to be picked up off the floor. I'm certain someone out there cried when the trailer showed Sol doing Dustloops."
Guilty Gear XX Accent Core Plus R,"The King. Without a doubt the most influential anime game to ever be made. You can see just in other doujin games within this article how Guilty Gear's touch was felt across the genre, becoming the poster child for high-speed, airdash-heavy fighting game action and creating the Roman Cancel system which countless games have iterated on for their own uses. With years of revisions, +R is the final version of the game and what a belter of a way to end, packed to the gills with mechanics, almost every character absolutely juiced up, and a recent addition of rollback netcode alongside some of the snappiest UX and trailblazing assets like the ability to go into replays and resume the game from any point makes +R still the cream of the crop in this genre.","The hallmark of this era of Guilty Gear is the Force Roman Cancel. This allows certain moves to be canceled in places they normally couldn't for less meter cost. The timing on it is strict however, usually within the 2-4 frame range. While some of these FRCs can be quite difficult, seasoned players have grinded out the timings to make sure they don't leave damage on the table.",kVG4m7q9im8,"I really want to post the Team Mahouko vs Team ElvenShadow  25v25 exhibition from 2020 but that's literally a four and a half hour long video, so I will instead drop a svelte, easily digestible, 2 hour video of this wicked stacked Team USA vs Team Japan 10v10 from last month. +R will never die, the game is simply too amazing to lose steam. "
Jackie Chan in Fists of Fire,"As language grows and evolves, sometimes its meaning can erode. Nowadays terms like “poverty” and “kusoge” are used with frequency, but when looking back at Jackie Chan In Fists of Fire you can see where we would need a term for an endearing game that has obvious flaws. Let's not get it twisted, it takes about 5 minutes of play time to see why people still play this game because it absolutely rules. This digitized fighter has an addictive pace of play, where grounded movement is so powerful and non-committal that neutral is highly chaotic and explosive. However, for as fast as it is on the ground it is absolutely glacial in the air, making the mistake of jumping in Fists of Fire can end the round for you. There's not much out there like Fists of Fire, but the way it shakes out makes it so much more competitive than anyone would have ever thought.","No jumping. Legitimately jumping is such a horrible option that it's not unwise to unbind the up direction to make sure you don't accidentally jump and throw away everything. What you will do instead is dash, as forward dashing can be canceled by almost any action (attacks, throws, blocking) and backdashing is invincible on startup all the way through recovery (unless you're Kim-Maree). With how high damage and momentum is, one wrong move or one correct whiff punish can be all it takes to send someone to the Shadow Realm.",CWL6NlWjlT4,"Fists of Fire was run at the last Vortex Gallery, as it is easily playable on Fightcade 2. In proper Protagonist Armor style, there are three Jackie Chan's in this game and all of them are very good."
Kill La Kill -IF Restitched,"Kill La Kill IF is a 3D arena fighter released by ArcSys and Team Red, but maybe that last word in the title is tripping you up. Restitched is not a revised release of the game, but instead a very recent community rebalancing patch. On release KLK IF was pushed competitively by ArcSys and has picked up a community of players, but with no form of official support for the game they have taken it into their own hands to refine for a better competitive experience. While this version is still very fresh and only a couple of patches have come out, work has already been done to help elevate the bottom tiers (Nui and Ragyo) in the game. With this being the first major offline event for the game, Restitched could be the spark to breathe new life into this scene.","Under the health bar is a four segment bar called the SP bar, this controls performing specials, bursts, and Fiber Lost. You get two types of bursts in the game. The first is a common interpretation of bursting, the Counter Burst which can be performed out of hitstun or blockstun and knocks the opponent back. Bursting in neutral is a Valor Burst which deals damage and starts Bloody Valor, a rock-paper-scissors cut-in where the burster can deal damage, regain health, or regain SP with a correct choice. With every win the burster gets, they get a Valor level and Bloody Valor continues until Valor level 3 is reached or there is a tie or loss to the defender. At Valor Level 1, you gain a character-specific buff (more damage on normals, reduced cooldown time for the SP gauge, etc), at Valor level 2, one of your specials becomes enhanced, and at Valor level 3 you unlock the ability to use Fiber Lost, a instant kill that can be comboed into. ",8M8htz1yiJU,"The KLK IF community has a dedicated YouTube (and Twitter) for their tournament series, here we can find footage of Restitched in action. The current version of the game and for the Vortex Gallery bracket will be v1.2, which has its patch notes as a video on IronFoxfire's personal YT channel."
Killer Instinct,"It's interesting to think that we had a bit of a console war in the post-Street Fighter 4. While I was permanently salted because I was silly enough to own a Playstation Triple and thus a Playstation Triple fightstick, the Xbox 360 was the dominant choice for running fighting game tournaments. As we entered the next generation of consoles, the Playstation 4 was now the slam dunk option for running events, but Microsoft had one trick up their sleeve. 

With the Xbox One came the revival of Killer Instinct, originally a popular fighting game from the early 90s boom. While this was not enough to sway the FGC into adopting the Xbox One as the default within tournament structure, over the years Killer Instinct was built on and updated to become not only a fantastic example of a revival, but also an incredibly successful tournament-level game (especially when considering the disadvantages of not being on the tournament standard platform). 

Since coming to PC, Killer Instinct is more available than ever and with a style of play that retains what made the original so memorable while adding in new mechanics to bolster its competitive edge.  ","Is Combo Breaker one of the most famous fighting game mechanics ever? Probably, we don't have a major event named after it for nothing. But let's actually break down how it works. When in a combo, you can press the Punch and Kick buttons to Combo Breaker your opponent's combo if the Punch and Kick you pressed match the Punch and Kick strength they are hitting you with. 

What type of move being used in a combo can determine how easy it is to break, Manuals (what you would call “Links” in most other games) and Linkers (Specials) have tighter windows or less obvious tells on what strength they are, whereas Auto Doubles (a canned sequence of two punches or kicks of the same strength) have longer windows for Combo Breakers, including into hitstun. The heavier of strength the attack is the more damage it deals obviously, but also the easier it could be broken, meaning that combo theory is about playing your cards close to your chest to not make obvious Breaker points and saving your hardest hitters for when your opponent Breakers wrong in a combo and has to just sit there and take it. 

The Combo Breaker rules are different for Shadow Linkers (basically EX Specials). All Shadow Linkers are 5 hits long and you must input Punch+Kick of any strength on 3 of those hits to Combo Breaker out. However, with both regular combos and Shadow Linkers, if you are being too obvious with what you are trying to break, your opponent can Counter Breaker your Combo Breaker, snatch your motherfucking birthday, have open season on doing the beefiest combo they have, and make you feel the way anime players do when they get their Burst's stolen.",_NW1ulmcttc,"In 2017, Combo Breaker grand finals for Killer Instinct would go down in history as being the set where Wheels made the comeback round people only see in movies and dreams when fighting Valoraxe. Sadly, as much as that round is what is remembered, Wheels ended up losing the set and tournament to Valoraxe in the end. However in 2019, once again on the Combo Breaker stage, Wheels and Valoraxe found each other again in grand finals. And this time, things would go differently. "
KOF 98' Ultimate Match Final Edition,,,,
KOF 2002 Unlimited Match,,,,
Marvel vs. Capcom 2,"It's almost impossible to introduce MvC2, truly it stands as one of the most iconic fighting games ever made and has a rich competitive history that is still felt to this day. The game made legends out of players like Justin Wong, Clockw0rk, IFC Yipes, Sanford, and numerous others in its historic ten year competitive run. While Street Fighter will likely always represent the idea of fighting games, Marvel vs Capcom 2 should represent the idea of the fighting game community.","For how iconic MvC2 is, it's quite hard to describe in an all-encompassing manner as there are many different playstyles depending on team composition. Typically what you will see is two strong characters (Magneto, Storm, Sentinel, Iron Man, Cable) and a significantly less good character who has an invaluable assist (Cyclops, Psylocke, Captain Commando). Protecting/sniping the assist character becomes a priority as properly breaking a full team can drastically change the momentum of the match.",sVTdAOb54xI,"In 2011 I stayed late at work one night, using my office computer to stream the event of the lifetime to make sure I didn't miss anything on the commute home. Clockw0rk and GoldenBoyNeo were having a high stakes FT15 money match to send off MvC2, as MvC3 was soon releasing. What took place is one of the greatest sets in all of FGC history, not only because of how good the play was, but by the rawness of the then-burgeoning streaming technology. The audio felt like it was constantly redlining, the commentators screaming their lungs out, and the audience blowing the roof off the ballroom with every hype comeback. It's hard to request you spend an hour and a half of your day to watch something, but if you've never seen it before you owe it to yourself to watch it."
Melty Blood Actress Again Current Code,"The game that put French Bread on the map and the flagship release that their community still supports to this day. A fighting game based on (but also a sequel to?) the Tsukihime visual novel by Type Moon, it has seen multiple versions in the 20 years since its first release. While Current Code has been the end of the game's life for many a year, Melty Blood continues to be updated in a sense through community work as netplay and matchmaking have been integrated through clients like CCcaster and Concerto. ","There are three versions of each character, broken up by what style of Moon you choose. These Moons (Full, Half, and Crescent) come with their own sets of universal mechanics, such as Crescent and Half Moons being able to Rebeat (the act of chaining normals from heavy to light instead of the standard light to heavy) and Full Moon being unable to. This is not the only difference between different versions of the same character, as different Moon versions will have different specials and normals, creating three unique toolkits for each character. As overwhelming as the sound of nearly 100 different characters is, in practice the amount of relevantly played characters is lower than that. ",8NPEmTb7Lo8,"Typically, I try to add videos that are relevant to learning the game or recent tournament footage. But this time around I just want to make sure people see some classic history, as this Winners Semis match between Brandino and Jiyuna at NEC9 in 2008 is really good but is remembered for HyperHal's drunken academic commentary. Someone run Arcana Heart so I eventually have a reason to post “Get Hype For AH3”"
Million Arthur Arcana Blood,"Despite the ""Arcana"" in the name, MAAB is a non-Arcana Heart game from Team Arcana. It is instead based on the Million Arthur franchise, a fantastical world filled with Arthurian legends of knights and swordplay. Originally starting as a card game, this aspect translates into MAAB in the form of assist cards you pick three of before the match. It also has Iori from King Of Fighters and his sweep is cancelable. Eat shit StopUsingSweep.gif.","Assists are a big part of this game, they can cost anywhere from 1 to 3 mana to call. Your assist meter fills back up at a quick pace, but if you cancel into an assist your meter will be locked out for that amount until it recovers. Assists also have elemental attributes, a mechanic across the game. There are three elements; Fire (deals damage over time), Ice (extra hitstun), and Wind (regens health). Elements interact in interesting ways, if you have multiple successive hits of one element the combo will gain bonus damage. However, if you hit with one element and then hit with its counter-element (for example: a Fire attack followed by an Ice attack) it will force counter hit, even when in the middle of a combo!",z20_tv35xt8,"Ebonic Plague does a fantastic job giving game information while doing commentary for this Evo 2019 Top 8. MAAB hasn't had a chance to showcase itself offline since 2019, so Vortex Gallery 2022 will be a much-needed return to offline."
Mobile Suit Gundam Extreme VS Maxiboost ON,"Hey you might have heard about this Gundam anime thing, it's a pretty big deal. There's only an uncountable amount of games based on the series out there. One series in particular, Extreme Vs, has been picking up steam over the years stateside since the release of the aptly-named-to-serve-as-an-onboarding-point Gundam Versus.

The next release after that is what fellow space war criminals find themselves playing now, Extreme VS Maxiboost ON (or just Maxiboost for simplicity's sake). This series is unique among fighting games as being a 2v2 team game, all four players being active at the same time means that how neutral works in a 3D space is wildly different. This, alongside the almost unfathomably large roster, makes for a game that can be daunting to approach, but if you get past the learning curve Maxiboost is a deeply rewarding game that offers something unlike anything else in the scene.","Gameplay is determined by team composition. In Maxiboost you have a total cost of 6000, consider this your team life points. Different mobile suits have different associated costs, from as high as 3000 to as low as 1500, with the higher cost suits having more power and better stats.

This leads to a system called Fronting and Backing, you want a strong (typically 3000 cost) suit as the Front, as they are the most powerful member of the team, have the most health, and can overall better engage the enemy.

The Back player (typically 2500 cost or less) is the supporting role, assisting the Front by covering for them, creating advantageous lines of approach, or interrupting the opponent when they have your Front in a combo. Bringing this back to the 6000 total cost, the game ends when one team goes over cost. Because your Front is the more expensive and more powerful suit, you want your Front to die first so they have the spare cost to come back (if the Front and Back were both 3000, both of them dying would end in a loss, but with a team composition less than 6000 total, you can have it so your Front dies twice and your back dies once as long as the Front dies first). Because of this, it is a lucrative strategy to try and snipe the Back player to force a disadvantageous cost on the other team, but doing so is risky and you can start to see the intense nuance that this 2v2 structure brings to the table.",PZsCyx-bEfI,"It took a lot of effort not to just post the video from Frosty Faustings 2019 where I am drunk on the floor yelling at the top of my lungs about how nice my Sinanju is, but in the name of professionalism I offer you this instead. The Top 8 for Frosty Faustings 2022 is a great way to introduce yourself to the game as it has something that makes spectating this game so much easier; multiple capture cards. Sadly Maxiboost doesn't have a spectator mode or anything where you can get perspective on each player, so for large tournaments like this the community gets additional capture devices so we can see the game through the eyes of more than just one player."
Mortal Kombat X,"I don't think there has been a bigger success story in riding the post-Street Fighter 4 wave than the reemergence of the Mortal Kombat series. Netherrealm Studios struck gold when making Mortal Kombat 9 and proved it wasn't a fluke when they created the DC superhero fighting game series Injustice afterwards. Mortal Kombat X came next and walked in the path of what worked with those two games while remixing some older Mortal Kombat ideas with newer ones. What came out the other side is a blisteringly aggressive game where both neutral and reversal situations can become explosive with only a bar of meter needed. While the newest version of a game in a series understandably takes center stage, MKX is so beloved that it is still seeing tournament play alongside its more recent entry.","Armor is the name of the game. Many specials can be upgraded by spending a bar of meter and gain a hit of armor. While obviously applicable for reversals, this also creates a volatile neutral as you or your opponent can rip through an attack if they have armor and declare the neutral state is over, thank you. What also ties in to making this game so aggressive is the return of Sprinting. Much like how you could run back in classic favorite Ultimate Mortal Kombat 3, you can once again hoof it across the stage (as long as you have enough Stamina meter), making for more opportunities to punish, pressure, or convert combos. ",40eB5-D7Rnc,"Yeah baby this is from this year, MKX is still going strong and when you see how violent the pace of play is you can easily see why players still cling to it."
